it's suliban.	スリバン人です
no wonder she requested sarah ellis.	彼女がサラ・エリスを 要求したのは無理もない
these are the top 250 grossing fire hydrants in terms of parking tickets.	駐車違反切符に関して トップ250の消火栓なのです
neo!	ネオ!
this is called network marketing. network marketing.	ネットワークマーケティングというものです
so their signature will be missing energy, ok.	つまり エネルギー質量が減少すると予想されるのです
one of the key technologies that's really important	ここでキーとなる重要な技術の1つに
the songs one group often claims as theirs alone	主張する歌があっても、それは彼らすべての歌である
really?	本気なの?
ah, you want to order something else?	追加注文かなんかですか?
mouthparts	葉っぱは緑から白に
is this a fucking joke?	冗談だよな
before they put you in here, you didn't see tyreese?	ここに入る前 タイリースを見た?
well done, today. may i?	今日は お疲れさま ここ いいかな?
so you're aware that one oojima roll out of every ten is an angels' share, right?	大島ロールにも 10本につき1本 天使の分け前が存在することも
by you.	君がだ
to come, graphic designers most of them	多くはグラフィックデザイナー仲間です―
is going to produce a subtle, understated	微妙で目立たない ある意味で隠された
now, i want to tell you a story about seeing differently	そこで違った見方について お話ししようと思います
stop messing around and i'll sing your favorite song,'	やめなさい」と言えば 娘たちはすぐにふざけるのをやめ
and do homework assignments.	宿題をします
you need to put this away, and go to sleep.	それを片付けて休め
get him over there!	あっちに行け
you've heard of wildfire?	火液のことを聞いたことは?
there's a hundred ways to serve, kiera, you know that.	上手くやってくれ
everywhere i turned, you had friends ready to help you out.	至る所で熟慮しても あなたには支援する 準備ができてる友人がいた
wouldn't you know, rising toxicity levels have made life unsustainable on earth.	つまり 地球上の毒性レベルが上昇し 生命維持不可となっています
brother is...	どうすりゃ ヤツを!?
you know.	どんなにリッチになっても
you have an appointment this afternoon.	午後に予定してますので
and you ... you are wounded, marshal.	君は傷ついている連邦保安官
then that's the rule you'll have to break to know the truth.	本性を知るには破らねばな
will she come here looking for you?	ママは君を探しに来る?
he wanted you badly.	あんたをとても欲しがってたよ
i'm very sorry!	すみませんでした!
this just slays me.	これは私を殺害する
is a necessary ingredient for success	理解させなければなりません
it's just 5 o'clock.	5時ジャスト
they don't know the darkness that almost was the sacrifices made the heroes lost	私がどれ程、闇に近づいたか 誰も知らない 犠牲は払われた 英雄は死んだ
they slow down.	スピードを落とします
what are you talking to yourself about?	我带您去您的房间
quill, you gotta hurry.	まだここで 足止めだ!
are you sure you know where she lives?	ホントにどこに住んでるのか 知ってるのか?
his home wifi network has wpa password protection.	彼の家のwi -fiはwpaパスワード プロテクションだな
all i have to do is get the password of the underground website, right?	その裏サイトのパスワードを 手に入れりゃいいんですね
is it okay? not seeing your daughter.	いいんですか? 娘さんに会えなくて。
but then, one day, i realized.	でも そんなある日 私は気付いた
welcome 3 customers are coming in.	いらっしゃいませ お客様3名様 入ります。
it's fine, you can just go. no, no.	もう帰って
he likes me twice as much.	《2倍 好きになってくれようとしたから》
based on y&amp;r's brandasset valuator	Young&amp;Rubicam社のデータベースである
measure of the success of this	人間関係が
now, i'm older, and my youthful looks might belie that	私は歳をとっていて 一見若作りですけど
roland, can i call you roland?	ローランド 聞いてるか?
yeah. he... he just needed to lie down.	あぁ 横になってる
first saved message.	最初のメッセージを保存しました
and he had little horns come up above his eyes.	彼の目の上に小さな角が出ていました
fred krueger, mom.	フレッドクルーがー
she didn't think about her daughter.	娘のことなんか考えなかったさ。
but riko hates harem routes.	でも理子 ハーレムルートって 嫌いなんだよね
damn it!!!	くそーっ!
so what is next?	さあ 次に来るのは何でしょうか
i thought you were over this.	まだ、こんな事を?
it would be better if i detested you...	あなたのことも 普通に 恨んだりできたら いいんだけど
but, mister...	でも 旦那
i said, shut up!	そうした方がいいと...。 俺の気持ちも考えずに?
let me take the first shot.	ねえ 聞かせて
i was not aware we were practicing such a scenario.	そんな状況で 練習をしてるとは気付きませんでした
is natsume in this class?	これ北本んちの方だな
it's the mental equivalent of the full body massage.	心に行う全身マッサージなのです
billy, every time i seen you fight, you climb in there alone.	お前はいつも1人でリングに上がり―
you are not making any sense.	何を言ってるのか分からないわ
is she the love of your life?	生涯一 愛しているのか?
in the united states and europe	氷柱を送る準備をすることです
that's not true, i just do according to the rule ...	そんなことしてませんよ 僕は ただ決まりで...
yeah, it's like... how do i put it?	私 やる
after following the chain of logic, that is my answer.	デルハイド方面軍に続きまして
majin boo!	いいぞ! 魔人ブウ!
good lord! come on!	危ない!
if they knew who you were, that you were my daughter, they would use you to get to me.	ヤツ等がお前のことを 私の娘と知っていれば 私を捕らえるために お前を利用するだろう
turned into a highway or a greenway	高速道路や緑道に変えるべきだ とか
you vaccinate all the children in an area.	地域にいる子供全員に予防接種を行うのです
no, you know, this is a celebration	例えば 肌を覆い隠すのは
you're in the way.	つまり 貴様の受けるダメージは 5体分で 2000ポイント。
and we can see the tragedy of africa	グラフの最初の方からアフリカの
and so worldwide telescope will be available this spring.	WorldWide Telescopeはこの春公開になります
maybe we shouldn't have brought those guys with us after all.	あっ やっぱり あいつら 連れていかない方がよかったかな。
i was just thinking about fixing my life up on my own.	たまには自分の人生 一人で見つめ直してみようかと
sleeping?	睡眠は?
, if anything should be painful	《もし 何か つらいことがあったら
that's gotta be the same bear that went after michelle.	彼女を狙ったクマだ
i need to relax. i can't think straight if i don't relax.	リラックスしないと頭が働かない
good, yakon!	イイ...。 あっ...。
you don't have one of those, do you?	君はあんなのじゃないよな?
maybe there's some medication or something that's affecting things.	隠れてなんか飲んでるかも
taking advantage of all the effort	インターネットや通信技術などの
now, i know that sounds kind of ominous, but he's annoying.	こんなことを言うと ちょっと嫌な感じだが 彼は 迷惑をかけていた
gimme all your money, or i'll blow myself up.	「金を出せ さもないと自爆するぞ」
what's going on?	《手裏剣の射線上に...。
should i have not come back?	私... 戻ってきては いけなかったんでしょうか?
i'm 10 weeks in now, and we've never been that far along so maybe the baby isn't gonna travel.	ちょうど10週目の終わりで それ以上では有りません 赤ちゃんは旅に 出てないと思います
whats going on?	逆にあいつの間合いの中に 入らせない
prince hans of the southern isles.	サザン・アイルズの ハンス王子です
breaking right.	右破る。
see what i mean?	つまり どいいう意味か?
in each case, i'm taking exactly the right amount to confirm that none of these men killed trent annunzio.	ひとりひとり トレント・アンナジオを殺した男じゃないと 確認するのにふさわしい時間をかけている
you know what i'm trying to say, right?	イブに会おうと。
are you doing one? you're gonna love it. ready?	準備は良いか?
is it okay for you to walk now?	いいのか
code 421372b, which states that an individual being transported by a representative of the criminal justice system must be afforded the opportunity to relieve himself if the duration of the transport is more than three hours.	連邦警察法 42 -13 -72Bに 違反なんてしない
kitara do it ...	こうきたら... そう
okay. it's worth looking into.	よし 調べる価値は あるな
it'll be the theme!	それが決まりだ
jason. tell me.	居場所を教えて
i'm under the same constraints as everyone at this base.	みなさんと同じ状況よ
taking responsibility and being this cause's public face.	責任を取って この原因で公衆の前にでる
make a beautiful website, but first	美しいウェブサイトは是非作ってください ですが、まず始めに、
and the bouncing of the sound off the surfaces.	知り得ることが出来ます
no gun and i walk.	銃はない 大丈夫だ
well, there you go!	見ての通りだ!
congratulations on turning 21.	浩二 今日 お誕生日でしょ おめでとう 21歳
how's that even possible everything you should stuff. the same cd, lp...	どうやったらいいのよ 全部あなたのものでしょ、cdもlpも
just go sleep.	できないなら やらなくていい。 お前は寝ていろ。
to find out what's going to happen next.	見ずにはいられなくなります
i would not be proud of myself if i defeated you the pathetic way you are now.	情けないままの貴様を倒しても 自慢にはならんからな。➡
our friend, dr. bishop, is going to examine you.	ビショップ博士が診るわ
who run around the streets of lagos at bus stations	ラゴス中の通りを駆け回り
and powerless.	無能で力のない
just to emphasize this, this is what we're really talking about.	言うなれば次のようなことです
blood?	鮮血の爪立てる
tell your men to lay down their swords.	剣を仕舞うよう言ってくれ
wood, there he is. it's ramone!	ウッド、ほらラモーンよ!
in fact	実は・・・
you were a medium talent at best.	大学では、中程度の才能しかなかった
the electric chair.	電気椅子
i wanted to give martin somers the chance to confess and face a court's justice, but he chose to go after someone i care about instead.	マティーソマーズに 正義と向き合う機会を与えたかったが
what the, it's too good, just for decoration at the kindergarten.	何か もったいないな このまま 幼稚園に飾っとくの。
you were lucky to find him.	彼と一緒になれて良かった
everybody's going to do it.	誰もがやろうとします
although i say a holiday, i will be able to meet my teacher almost everyday	まァ 休みと言っても先生とはほぼ毎日会うコトになるけどね
wow, you're right.	きみが正しかった
just trust me.	僕を信じてください
i'd been successful	それまで順調に やってきていましたが
but things are also changing	ものごとはとても早く
caleb and rachael.	ケイレブとレイチェル
i think it's better if...	大丈夫だ
seven key servers that hardcodes it to ignore seven carefully crafted new identities.	それをハードコードする 7台の鍵となるサーバー 慎重に7台を無視して 新しいIDを作成した
you know i.	知ってるだろ?
shirasaki sensei won't allow it. he'll say that's suicidal.	白崎先生が許してくれませんよ 自殺行為だ って
you sense it too.	あなたも感じてるね。
i didn't think we'd be feeding people to biters.	人間にバイターをぶつけるなんて 考えたこともないよ
don't worry.	それ ずっと 気になってたんですが。
would they do the same for us?	奴らは我々をも 普通の人間扱いするだろうか?
so who's starting these companies? it's these random few people.	では誰がその会社を始めるのか? 一握りの雑多な人たちです
he is now.	今はそうだ。
at the very least you should be able to remember your girlfriend's shoe size.	普通 彼女の 足のサイズぐらい 把握してると 思うんだけどなぁ。
you want to tell me why we're here?	なぜここに来たか 言ってくれないか?
you have to have an ideology	イデオロギーが必要です
you mean brody.	つまりブロディってことか
you have earned your right in the new order, a final breeding pair. amongst all others, you will be the new adam and eve.	新世界で権利を得た 最後のつがいだね
or a change in the weather.	予測しえなかった状況、です。
we're not set up for plastic here, friend. cash only.	カードは使えない 現金だけなんだ
please grant my wish	私のお願い 叶えてください。
will.	— ウィル
yeah, i will.	分かった 言おう
i mean, it was killing this guy.	つまり それは彼を殺したんだ
what the hell's wrong with you people?	何が問題なんだ?
hold up.	待て
blocking my attacks not just once, but twice!	一度ならずも二度までも...。
that i would collapse it	押し潰し
i am ashamed that i opened the door to the safe room.	避難所のドアを開けたことを後悔してるの
okay, when i give you a signal, take everybody with you and run south	ガキどもに教えてやれよ
should i call an ambulance?	救急車を呼ぶ?
ed stayed at a friend's most nights till she calmed down.	エドはたまらず友人宅へ そしたらソフィアは落ち着いた
sam, i have kids.	子持ちだから許してよ
maybe guilty.	ムー罪
some international schooling.	多少国際的な学校教育
i asked for ranch dressing with these fries. just like those women who write love letters to serial killers in prison. hey.	フライのドレッシングは?
doing well...	立派って...
they found these all over hiroshima after the first atomic bomb was dropped.	最初の原爆が落とされた後 広島で見られた光景だ
that is so creepy.	気味悪い
yes, thank you, sir.	はい、ありがとうございます。
how do you lie to everyone you care about?	どうやって隠し続ける?
is who is making it.	「誰が」つくるか ということなんですよ➡
you already know	なら もうお前だって わかってるだろ?
i'm not annoying at all, either.	そいつも悪くないかもね。
who are you?!	今度は誰だ!
his name is mersong.	名前はヒューイット
so, not exactly what i was hoping for	期待していたのとは違いましたが
the audio tapes are aired on tv	音声がテレビで放送され
then you've wasted 200 billion dollars in unnecessary tests.	こうして 2千億ドルが不要な検査に費やされます
a speaker finds this complex, tricky. but in hans rosling's case	複雑で難しいと思うでしょう しかし 彼の場合
you killed your dog, by the way.	お前、犬を殺したぞ ところで ?
before you can make a contract	その前に ひとつ言っとくが。
you're a robot.	お前はロボットだ
van pelt says animal.	ヴァンペルトは 動物だって
please wait a bit more.	もう少々 お待ちください。
living like a monster?	化け物として 生きなければならないのでしょうか?
his intestines beg to differ.	彼の 腸は不賛成
okay. good night, lisbon.	そうか おやすみ リズボン
did we break the fourth hokage's record?	どうなんだ? 俺たち 四代目の記録を破れたのか?
in. give me a minute.	待ってくれ
breath out slowly.	ゆっくり 息 吐いて
silver 22?	シルバー22 ジャミングか
but there are also complex tradeoffs that come	同時にプライバシーを手放すことに伴う
i don't know what to think.	どう考えたらいいのか...
truly, this is a shame!	何てこった!
it seems a long time ago.	ずっと昔のような 気がする
isn't it beautiful?	美しいか?
he doesn't even work, and just frequents night clubs.	しかも 仕事もしないで キャバクラ通いですよ。
in typical california fashion, it's overtaken	カリフォルニアでは日常茶飯事ですが
a trade.	取引だ
easy!	痛いよ
everyone's well aware of your enduring fondness for lord stark's wife.	スターク卿の妻への 継続的な愛を維持してるのは 誰もが知っている
l don't do nothing for them ever.	私は何もしていない
our deal is done. one prime for one seed.	我々の取引は終わりだ 1人のプライムで1つのシード
these two...	ふたり
real what? uh... jane, could you turn that down?	本物のなに? ジェーン ボリューム小さくして
hey, gordon	おい ゴードン アドバイスだ...
the two of them still run in this corrupt night town.	今 2人が 汚れた夜の街を 駆け抜ける>
this is an example of the kind of graphics you need to be able to draw	今日のゲーム業界で職を得るには
it doesn't mean we're engaged or anything.	婚約指輪じゃなくて すまない
but my mom was...	俺 やっぱ悔しいっすよ。
there's not enough time. jake's mom gave us two days.	時間が無いわ ジェイクの母親がくれたのは2日間だけよ
i have eight siblings, a stayathome mother.	8人兄弟がいて 母は専業主婦です
wait, am i pushing	僕は 船の上の人間だ
can i have that gps?	GPSはあるか?
that? me	あれ? 私...
fun's overrated.	楽しむんじゃないよ
so, what are the king of hell and a winchester doing at my house?	それで 地獄の王と ウィンチェスターが 私の家で何をしてる?
harvey dent's mostwanted scumbag collection or the sweet and innocent civilians?	ハーヴィーが獄に入れた囚人共か 善良な 一般市民か
i was out of those things in three minutes flat. what's wrong with you?	3 分しかない ケージ 何をされた?
the empties?	空っぽかな?
i'm so sorry you guys!	そいつは予知夢見せるんですよ
from your perspective, what was my father's state?	都築さんから見て 父は どんな様子でした?
wild pitcher!	へいへいノーコンピッチャーっっ!!
what is she? amanda i've been looking for you forever, but i guess you are busy	彼女って?アマンダ ずっとあなたを探してたんだけど忙しそうね
i borrowed it for a while.	やり過ぎじゃないか
get up. this way.	起きろ こっちだ
is that we truly do have an opportunity	地球規模での環境保護のイニシアティブに
the reason why your shitty work has any value is because of my accomplishments.	[tv]お前の駄文が評価されるのも 私の実績があってこそだ
right? rina.	ねえ 利菜 うん...
i didn't quite get it. and paul rand	理解できなかったのです
it would be useless to try.	やるだけ無駄だと思いますが...
i see. then what made you	そうですか。 では どうしてあなたは
a cosplay friend of maekawasan's?	何あれ 前川さんのコスプレ仲間?
i'll do it.	これだけ広いんだ 慌てるな。
and maybe look a bit more like these guys?	と思っている人もいるでしょう
sasuke did not miss that.	抜けた!
but...	あれ? でも...
it was a lot quicker than how my father died.	うちの父より、早く死んだ
i'm on the next plane down. bring mason in.	《次の飛行機でそちらへ向かう メイソンを呼んでおけ》
we're gonna play hideandseek.	かくれんぼしよう
their rate is about 12 percent.	避妊率は約12%です
what a nice scent.	いいところね ここ
never mind.	申し訳ありません。 いえ。
this coffee's terrible.	コーヒー不味いしね
if i may... when i was cleaning the bones	骨を洗浄した際に
send the coordinates... kodai!	帝星司令部に 映像 送ります。
i'm gonna take care of it though.	誰かがHRに 情報を流してる 私が片付けるわ
wait a minute.	当たり前だろ! ちょっと待てよ
in australia decided to study this exhibit	いったいどういうことなのか
they'd kill for that thing!	フリーランサーさ
i should speak to my sister before she exposes us all to ridicule. :	笑い者になる前に 妹に注意しなきゃ
yes. thanks.	ありがとう
now that we've met...	お前と出会えて
i haven't had a chance to catch up.	話す余裕も 無かった
i said, have you checked down the back of the sofa?	"ソファの後ろは調べた?" って言ったの
this cannot be revealed.	壁を壊すことはできねえのか?
they're welcoming the new king.	民は新しいを王を歓迎している
was i at the senate?	以及三百名元老院议员
please, please, please?	お願い ボビー:
half day, finch?	半ドンか?
and adriana was rushed to the hospital.	アドリアナ様は 病院へ
twentyfive years ago, you couldn't have made this decision.	25年前 君には その決断が出来なかった
strangeness is that calibration	「未知」であることが 距離感を定めるための
we'll keep these intimate things to ourselves, okay, chuck?	私たちの仲は 誰にもナイショよ
oh, where are my manners?	名乗るのが遅れた
well, i appreciate it, man. i mean, this was....	感謝するよ
a battery pack for a video game console.	ビデオゲームの電池パックだよ
they were just sitting there.	そこに座ってたんじゃ
we're going to be the states that produce solar energy for the country	太陽光発電ができるでしょう
[television] what do you think? prime minister! prime minister!	どう思われますか? [テレビ]総理! 総理!
ya, what should we do?	そうですね どうします?
but they're bringing him over.	なんてこった 彼をここに連れて来るんだ
it must be a side job. a side job?	副業ですね 副業?
which gave us both so much pleasure.	「2人で鑑賞した思い出と共に」
that's not water. it's saliva.	それは水じゃなくて、唾です
what bad seedlings?	何が悪い芽だよ
miss, something has happened to you.	行かないで下さい ミス
serial killers.	研究分野は シリアル・キラーだ
now tell me exactly which body part you'd like him to lose first.	さあ 正確に 身体のどの部分か話せ 彼を最初に死なせたいようだ
i'm not you, so i can't move as fast.	だが わしは動けぬから いったん戻る。
old teddy bagwell may be coosa county trash, but cole pfeiffer's a man of refinement.	テディー・バグウエル。 テディーは、悪質な犯罪者だったが コール。
i'll do this.	やってやる
i do not know why this person is testifying falsely..	どういう理由だか知らないけど この人は 嘘の証言をして
we do have the technology	私たちには
there are thousands of images like these.	このような画像が 何千も出回っています
yes.	はい 制服
not happening!	あなた達のチームは参加登録していない
we'll let you guys get settled.	ゆっくり くつろげるぞ
were far more common in women.	多くみられることがわかりました
is there anything i can do, miss ray?	僕[こできること ぁl丿ます? ミス'レイ
if you have any questions, please don't hesitate to call me.	もし何かお尋ねになりたいことがあれば、
so, please... no more walks on the dark side.	頼む... 日陰を行かないでくれ いいな?
and i would work on systems biology.	システムズバイオロジーを研究していました
havana, cuba	ハバナ キューバ
can i see it?	見せてくれる?
but i also know that you're only gonna get hurt in the long run because there is no irene.	でも 結局最後に傷つくのは あなただわ
for example, here is a lovely yellow droplet of milk	この美しい黄色のミルクの雫が
but... thank you, tear.	でも ありがとな ティア
the demons?	悪魔にですか?
it's sad, but it's a fact.	残念だけどそれは事実よ
estimated time of death was between 11pm last night and midnight	死亡推定時刻は 昨夜11時から12時の間。
interesting. no, it's not.	興味深い いいえ
it's fine. i forgive you.	ウフフフ いいわ 許してあげる
something i can boast to my friends about. ok.	友達に自慢できるようなやつ。 分かりました。
ace women do pr	トップホステスか
the president of peru said, we'll do 250. and boom, a little domino effect.	大統領が「25万台」と言ってきました 連鎖反応です
this is absurd.	馬鹿げてる
your job, arthur.	君の仕事だ アーサー
i have tywin lannister backing me.	私にはタイウィン・ラニスターの支援がある
drop your jackets around your elbows.	上着を肱まで降ろせ
stop. stop!	やめろ やめろ!
and when the peace process started	交渉が始まると
oniichan looked like he was really shocked.	お兄ちゃん すっごい ショック 受けたみたいで
how who's picking them?	誰が選ぶんだ?
anyway, i need to remember to do a check next year...	とにかく来年からはちゃんとチェックしておこう...
but here'	しかしここで大事なのは
i'm not sure... how to tie a tie.	ネクタイはね...。
come on, let's read it fast...	ささ、早く読もう
so, what do you need to tell me?	それで私に何を言うつもりなの?
your whole arm on the table, miriam.	腕をテーブルの上に ミリアム ありがとう
the iron man weapon.	アイアンマンですよ
the light is all i long for	ただ 求めて光を
i just want to go home and give michael vincent a hug.	早く帰って マイケルにハグしたくて
you mean like ghostbusters?	ゴーストバスターズみたいに?
what is innocent snow princess?	不義 雪姫とは どういった存在ですか?
i've seen things that you wouldn't...	違うお前を 見て来たんだ
monitor the situation, keep me apprised.	状況はモニタリングする 君は連絡を待ちたまえ
cooperation? for what?	協力? 何のために?
i'm sorry for not understanding how you felt.	模合さんのこと 全然 気付けなくて すいませんでした。
oh, why not dine with us?	食事は?
maya?	マヤ?
are those bullet holes in that dummy? you know, if you fired a gun in here, i could arrest you.	あの人形の穴は 銃弾の痕か?
delicate line	玉子が美味しいと何か嬉しくなるよね
all of the embodied impacts in that lettuce	レタスが成長するのに 利用された全ての物が
yeah, especially since isabel rochev was clearly injected with the stuff.	ああ、なにせイザベル・ロシェフは 明らかに薬を注射されていた ‐どうして分かるの? ‐他に方法がないからさ
if you want to become a real queen of jyouou, you would not be beyond hensei	真の嬢王になりたければ 彼女を超えろ
adultress.	浮気女と言うべきね
what're you in such a hurry for?	今更こんなやり方を取る方が無責任だ
you woke up...	起きたね。
is access to resources. they don't even have a textbook	教材へのアクセスで 時には教科書も
huhuhu. what are you laughing at?	フフッ。 フフフ。 何 笑ってんだよ。
where?!	香苗ちゃん? どこどこ?
we infiltrated a warehouse he was guarding, blew it up right under his nose.	俺達は こいつの倉庫に侵入し こいつの目の前で倉庫を爆破した
uhhuh. she's a kehrseiteschlichkennen.	いいや "事情通の異獣"だ
right? it's adaptable to change. right? it opens possibility	変化に適応できるようにし 可能性を開きます
and the functions of the human brain	人間の脳の機能を突発的な現象として
i can't do the fingerflage.	窓を覗けばいいさ
hey, stop it!	おい やめなって!
and say, well okay, but overall	人生で一番後悔することは何なのかという
then that is what you will do.	取りかかって
this is my blood brother	これは私の血を分けた兄弟だ
because there's gonna be a party here in three days.	だって3日間 ─ パーティーが始まるんだ
it's just, liz is finally acting like a human towards me, and i'm pretty sure roger's my first real friend, and i just got asked out by the hottest guy to homecoming.	ただ リズがやっと 人間らしく扱ってくれて ロジャーは親友になれそうだし ホームカミングでは 一番人気のある男の子に誘われた
straight on, straight. right.	まっすぐ まっすぐ そうだ
please guide me	すみません...。
this is death valley. oh.	ここは デスバレーだよ
where did you hide him?	どこに隠した?
someone who lives by treasuring each and every day	〈一日一日を 大切に生きている人でした〉
amazing!	これはすごい
you have a guest room in your house, right?	家に客室があるだろ
you don't have time to worry about your box weapon.	ボックス兵器の心配をしている暇は ありませんよ。
please take a look at these brochures.	まずは、この資料をご覧になってください。
oh, my god, laurel.	なんて事だ ローレル
ah, thank you.	ありがとうございます
i come from the central plains, i am churi	中州から来ました 朱里です
so, where is the blade?	ブレードを捨てろ
i just have really good luck, i'm sure.	そんな 運がいいだけだよ きっと
let me go doortodoor to the international community	国際社会を回って
it's time to prove that you are ready to join the g.l. joes.	GIジョーに参加する 準備ができている事を証明する時が来た
i thought it was bad to my wife, too.	かみさんにも悪いと思ったしね
sunny, you watch the car.	この車を貸してくれ うう...
geez man ... i'll starve.	ったく... 食えない男ね。
in reality, it's a very dangerous and troublesome thing.	現実のそれは 危険で面倒なことに決まってるんだ
anzo saaya nya i am fine.	安形紗綾じゃニャいか 僕は元気だ。
you are hachisukasensei?	あなたが 蜂須賀先生
i have no idea. i don't know what that thing is.	全くわかりません
we have the cryptograph we nabbed from amanda.	こっちには暗号解読機がある
what's up, woody?	調子は? ウディ
mikuchan.	みくちゃん。
in that, obviously, we've made remarkable impacts	明らかに私たちは
zomcon at the hendersons'.	ヘンダーソンとこにゾンコムが
alcoholism.	アルコールだね
55 years, employee.	世帯主が 水沢博行さん 55歳 会社員。
in india.	救急車会社のひとつです
was just repeating what i said...	もうバッチリです! あさってまでの お楽しみということで。
wow, really?	はい。 うわぁ いいんですか?
we can't figure out which fragment belongs with what...	これ どれがどの破片か 判断つかなくて...。
of multinational corporations in india	750もあること自体が
on her beating heart.	彼女の鼓動する心臓の上に置いた。
it looks like she changed her mind.	気が変わったみたいだ
the mother of all gundarks. precisely. are you gonna help me?	とてつもないガンダークじゃん 手伝ってくれる?
you could make a good profit with this..	これで ひと儲けできたな
this particular one is valued at over $20,000.	これは200万円と評価されました
while it is traveling through the bottle	瞬間的に捕らえたもので
so within a slime mold you might find thousands	従って粘菌一株につき
lord bolton, i give you the kingslayer.	ロード・ボルトン 王殺しをお渡しします
turned out, the e.l.n. didn't negotiate, so they put out a kill order.	だが、反軍は交渉を拒否し、 人質を殺そうとした。
when there is a god in my field, opponent can't negate the effect of eye of odin!	なに!? フィールドに 神がいるとき
i promised, too.	私も約束したからな
lenny said it was just one dude guarding it.	一人がガードしてると レニーが言ってた
that you get when you enter into this ecstatic state.	無理なく自然な感覚に到達するというのです
it was a plea bargain. eh?	司法取引した。 えっ?
you can wear feminine clothes.	女の子らしいドレスとかも着られるぞ
oh, my gosh, maya, look at him.	ああ、私のおやっ、 マヤは、彼を見て。
but that's not right.	しかしこれは正しくありません
it's encoded for in the dna of this organism.	その藻の dna 内にコードされています
she was going to come out in public. a scandal involving one of their drugs.	薬のスキャンダルを 暴露しようとした
zoisite, jealousy does not suit such a beautiful face.	ゾイサイト 美しいお前に嫉妬は似合わない
she's not crying.	彼女は泣いてない
that's!	お前だけが頼りだ サクラ。
we'll just find her and take her home.	あの子を見つけて 家に連れ戻すわ
there's only really one way to exactly.	やるしかない
take him down to earth.	彼を地球へ
that have red upholstery and red interiors, right? they do that for the same reason.	赤系が多いでしょ? あれも そのためなんですね。
isn't she the famous chef, sugihara marie?	あれって 有名シェフの 杉原マリエじゃない?
remember when he kidnapped you.	共食いを忘れたの? 彼は誘拐したのよ
the question we were interested in	猿も同じ傾向を示すのか
of a jumbo jet.	ジャンボジェット機の音すら
of course.	もちろんです あなたも
so it's true. you, get out.	ホントなんだ。 君 出なさい。
i set up a directional mic near the band shell.	やってみよう 音楽堂の近くに 指向性マイクをセットしてみた
from the universe!	一片の塵も残さず 宇宙より 消し去ってくれるわ~!!
release our fire.	本体を切り離す
we don't understand the code used by the brain.	脳が使っている暗号を私たちは知りません。
no one normal could have done that.	普通なんて ない
the only problem was how to slow the aging process once the subject had reached the desired physical age.	唯一の問題は最適な肉体年齢で 老化を止める手段だった
in the vineyards roughly	このブドウ畑には 大体
now, if you're no longer a traffic cop	交通警官であることをやめれば-
that's enough, kid.	十分だ
but, i do want to say...	ミスコンですら出たくないのに
wear on the right central incisor suggest age is mid40s.	右中切歯の摩耗から 年齢は40代半ばと思われる
boys. boys, look here.	ちょっと聞いてくれ
but i got into a fight with my mom.	でもママとは喧嘩になった
that's where carter's son goes to school.	そこは カーターの 息子の学校だ
you're eating!	お醤油かけて食べたいよう...
challenging the israelites to oneonone combat.	最強の戦士が
take all the time you need.	いくらでも 考えるといいよ
you were duly informed!	情報は与えたぞ!
is this... what i think it is?	なるほど それもそうだ
couldn't you argue that what he did	彼がやったことは 妥当であったと
well, let's go.	アハハ...。 アハハ...。 いやーん。
critically and creatively	考え方を学べるのです
needed some cash, so i obliged.	それには金がいる で 僕が都合した
through many calling lands	至る所で
is to take cells from an individual	個体から細胞を抽出し
that other people can have false beliefs	その行動の結果がどうなるかを
the adoption agency called.	養子縁組の件で電話が
because i love you.	だって あなたのことが好きなんだもん
where's rally?	遊星 ラリーの居場所がわかった。
hey, you, you little shit.	こら 坊主 お前が夢にも思わぬ方法で
but... we all got something, right?	でも...お互いなにか得るものあったよね
i don't like this at all.	凄くまずい
what if there's another way?	またチャレンジだ
to happen in a peaceful way.	平和的に行うことでした
if she reaches peak level...	このままだと...
of a mainframe computer that took up a room this size	以前はこの部屋の大きさほどあったメインフレームコンピュータが
oh, right i totally forgot	ああ そうだそうだ 忘れてた 忘れてた
out of my way!	どけ! どけよ! 浜田山!
better now?	もう平気ですか?
i said some things i shouldn't have. i don't know	私は何事か言いましたが 言うべきじゃなかった.
thank goodness.	おかげで助かった
agency runs on secrecy.	CIAは機密情報を扱う
can we close the investigation now?	調査を終了していいですか?
and the professors and lecturers have actually took a part in the real social welfare.	教授や講師も医療福祉の 第一線で活躍してるし
replace it? yup.	取り替えっこする? うん。
i don't know. you have to find my baby.	娘を見つけて
don't know. the e.m.t.s are with her.	わかりません 救急隊員が一緒です
come on ... why not?	さッ さあ... どうしてだろうね?
mr. misaki, please usher the guests to their places.	岬さん 担当のお客様を 会場に ご案内しました。
by the way, where is our room?	ところで 俺たちの部屋はどこ?
this should open their eyes.	これで彼らに啓発するべきだ
as we're going around.	価値があります
we were supposed to meet the men in those vehicles.	ここで救助部隊と会うはず だったんだ
it's an issue for the women's movement.	女権運動を行う人にとっても
that's old seoul.	旧ソウルだ
sensei, you look here as well	先生もおらんみたいやし ちょっとなら構へんやろ。
oh, i do.	もちろん 誓うわ
we realize that i think we'd all say that we want to	テロを軍事的に捉えるのではなく
uh, i don't think they're in the mood for any treatment.	えー おとなしくは していませんよ
you're done?	ね 終わった
it means that i can choose a car exactly for that particular trip.	さらに 用途にぴったりあう車を選べるということです
